Reporter,Reporter_ISO,Partner_Code,Partner,Partner_ISO,Commodity_Code,Commodity,Trade_Value
Canada,CAN,704,Viet Nam,VNM,101,"Live horses, asses, mules and hinnies",72
Singapore,SGP,704,Viet Nam,VNM,101,"Live horses, asses, mules and hinnies",206018
Australia,AUS,704,Viet Nam,VNM,102,Live bovine animals,215507722
Lao People's Dem. Rep.,LAO,704,Viet Nam,VNM,102,Live bovine animals,41239294
South Africa,ZAF,704,Viet Nam,VNM,102,Live bovine animals,41890
Thailand,THA,704,Viet Nam,VNM,102,Live bovine animals,787280
USA,USA,704,Viet Nam,VNM,102,Live bovine animals,33042
Canada,CAN,704,Viet Nam,VNM,103,Live swine,922872
Denmark,DNK,704,Viet Nam,VNM,103,Live swine,10188638
France,FRA,704,Viet Nam,VNM,103,Live swine,431547
Lao People's Dem. Rep.,LAO,704,Viet Nam,VNM,103,Live swine,173500
"Other Asia, nes",,704,Viet Nam,VNM,103,Live swine,713970
USA,USA,704,Viet Nam,VNM,103,Live swine,1178788
Australia,AUS,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",8827505
Belgium,BEL,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",223912
Brazil,BRA,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",69792
Dominican Rep.,DOM,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",53429
France,FRA,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",62762
Japan,JPN,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",141943
Kazakhstan,KAZ,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",168
Madagascar,MDG,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",1461314
Netherlands,NLD,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",1
New Zealand,NZL,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",1029670
Paraguay,PRY,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",283451
India,IND,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",330015
Singapore,SGP,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",1050
Uganda,UGA,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",7429
United Kingdom,GBR,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",449415
USA,USA,704,Viet Nam,VNM,201,"Meat of bovine animals, fresh or chilled",504719
Argentina,ARG,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",2076378
Australia,AUS,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",19179172
Austria,AUT,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",7961
Belgium,BEL,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",576860
Botswana,BWA,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",328556
Brazil,BRA,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",24778110
Bulgaria,BGR,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",141686
Belarus,BLR,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",68200
Cambodia,KHM,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",577917
Canada,CAN,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",1270676
Colombia,COL,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",698498
Denmark,DNK,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",2942783
France,FRA,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",416818
Germany,DEU,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",3644076
Honduras,HND,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",31250
"China, Hong Kong SAR",HKG,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",118727259
Ireland,IRL,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",656694
Italy,ITA,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",11722543
Japan,JPN,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",1989608
Rep. of Korea,KOR,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",1530595
Madagascar,MDG,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",924706
Malaysia,MYS,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",534858
"Other Asia, nes",,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",372614
Oman,OMN,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",157198
Netherlands,NLD,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",1872093
New Zealand,NZL,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",3569395
Nigeria,NGA,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",22582
Pakistan,PAK,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",10286948
Paraguay,PRY,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",81402804
Poland,POL,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",1370176
Romania,ROU,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",26836
Russian Federation,RUS,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",218548
India,IND,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",1832493377
Singapore,SGP,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",216056
South Africa,ZAF,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",16829873
Spain,ESP,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",372143
Uganda,UGA,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",44986
United Kingdom,GBR,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",4332116
USA,USA,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",39078654
Uruguay,URY,704,Viet Nam,VNM,202,"Meat of bovine animals, frozen",3475
Australia,AUS,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",1251653
Austria,AUT,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",215221
Belgium,BEL,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",214684
Brazil,BRA,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",2835158
Canada,CAN,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",1582133
Cyprus,CYP,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",11947
France,FRA,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",1973732
Germany,DEU,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",2503007
Greece,GRC,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",26425
"China, Hong Kong SAR",HKG,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",23665228
Hungary,HUN,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",32393
Indonesia,IDN,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",4613
Ireland,IRL,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",266341
Italy,ITA,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",2358753
Rep. of Korea,KOR,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",660193
Malaysia,MYS,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",316624
"Other Asia, nes",,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",340487
Netherlands,NLD,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",887865
Poland,POL,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",9346326
Portugal,PRT,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",73095
Russian Federation,RUS,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",45098
Serbia,SRB,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",12375
Singapore,SGP,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",20532
Slovenia,SVN,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",39731
South Africa,ZAF,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",31260
Spain,ESP,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",6811492
Thailand,THA,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",9036
United Kingdom,GBR,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",706792
USA,USA,704,Viet Nam,VNM,203,"Meat of swine, fresh, chilled or frozen",3127620
Australia,AUS,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",7284377
Belgium,BEL,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",22276
France,FRA,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",1923
"China, Hong Kong SAR",HKG,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",66503
Ireland,IRL,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",542796
Malaysia,MYS,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",35541
Mauritania,MRT,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",454876
Netherlands,NLD,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",1
New Zealand,NZL,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",884927
Pakistan,PAK,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",270411
India,IND,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",12262
Singapore,SGP,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",16236
South Africa,ZAF,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",129900
Uganda,UGA,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",20178
United Kingdom,GBR,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",512114
United Rep. of Tanzania,TZA,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",128489
USA,USA,704,Viet Nam,VNM,204,"Meat of sheep or goats, fresh, chilled or frozen",496297
Argentina,ARG,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",900077
Australia,AUS,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",164938
Belgium,BEL,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",1249508
Brazil,BRA,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",521142
Bulgaria,BGR,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",512782
Canada,CAN,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",230515
Colombia,COL,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",623679
Mali,MLI,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",42162
Mexico,MEX,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",2882018
Peru,PER,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",11086026
South Africa,ZAF,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",52363
United Rep. of Tanzania,TZA,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",3521797
Burkina Faso,BFA,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",55256
Uruguay,URY,704,Viet Nam,VNM,205,"Horse, ass, mule, hinny meat, fresh, chilled or froze",834221
Argentina,ARG,704,Viet Nam,VNM,206,Edible offal of domestic animals,2415283
Australia,AUS,704,Viet Nam,VNM,206,Edible offal of domestic animals,6257445
Austria,AUT,704,Viet Nam,VNM,206,Edible offal of domestic animals,2044057
Belgium,BEL,704,Viet Nam,VNM,206,Edible offal of domestic animals,1572039
Brazil,BRA,704,Viet Nam,VNM,206,Edible offal of domestic animals,6590179
Bulgaria,BGR,704,Viet Nam,VNM,206,Edible offal of domestic animals,27459
Belarus,BLR,704,Viet Nam,VNM,206,Edible offal of domestic animals,191800
Canada,CAN,704,Viet Nam,VNM,206,Edible offal of domestic animals,97718
Sri Lanka,LKA,704,Viet Nam,VNM,206,Edible offal of domestic animals,36823
China,CHN,704,Viet Nam,VNM,206,Edible offal of domestic animals,14300
Colombia,COL,704,Viet Nam,VNM,206,Edible offal of domestic animals,301089
Costa Rica,CRI,704,Viet Nam,VNM,206,Edible offal of domestic animals,1057341
Croatia,HRV,704,Viet Nam,VNM,206,Edible offal of domestic animals,51168
Cyprus,CYP,704,Viet Nam,VNM,206,Edible offal of domestic animals,129162
Czechia,CZE,704,Viet Nam,VNM,206,Edible offal of domestic animals,58215
Denmark,DNK,704,Viet Nam,VNM,206,Edible offal of domestic animals,491748
Ethiopia,ETH,704,Viet Nam,VNM,206,Edible offal of domestic animals,1619350
Finland,FIN,704,Viet Nam,VNM,206,Edible offal of domestic animals,28709
France,FRA,704,Viet Nam,VNM,206,Edible offal of domestic animals,3385794
Georgia,GEO,704,Viet Nam,VNM,206,Edible offal of domestic animals,23383
Germany,DEU,704,Viet Nam,VNM,206,Edible offal of domestic animals,8222204
Honduras,HND,704,Viet Nam,VNM,206,Edible offal of domestic animals,21385
"China, Hong Kong SAR",HKG,704,Viet Nam,VNM,206,Edible offal of domestic animals,184823711
Hungary,HUN,704,Viet Nam,VNM,206,Edible offal of domestic animals,585
Ireland,IRL,704,Viet Nam,VNM,206,Edible offal of domestic animals,5545932
Italy,ITA,704,Viet Nam,VNM,206,Edible offal of domestic animals,8321926
Japan,JPN,704,Viet Nam,VNM,206,Edible offal of domestic animals,56888
Kazakhstan,KAZ,704,Viet Nam,VNM,206,Edible offal of domestic animals,3787
Rep. of Korea,KOR,704,Viet Nam,VNM,206,Edible offal of domestic animals,18552
Lithuania,LTU,704,Viet Nam,VNM,206,Edible offal of domestic animals,71159
Madagascar,MDG,704,Viet Nam,VNM,206,Edible offal of domestic animals,218138
Malaysia,MYS,704,Viet Nam,VNM,206,Edible offal of domestic animals,37549
Mexico,MEX,704,Viet Nam,VNM,206,Edible offal of domestic animals,594126
"Other Asia, nes",,704,Viet Nam,VNM,206,Edible offal of domestic animals,301189
Netherlands,NLD,704,Viet Nam,VNM,206,Edible offal of domestic animals,12778103
New Zealand,NZL,704,Viet Nam,VNM,206,Edible offal of domestic animals,646146
Norway,NOR,704,Viet Nam,VNM,206,Edible offal of domestic animals,236465
Pakistan,PAK,704,Viet Nam,VNM,206,Edible offal of domestic animals,13870582
Panama,PAN,704,Viet Nam,VNM,206,Edible offal of domestic animals,291238
Paraguay,PRY,704,Viet Nam,VNM,206,Edible offal of domestic animals,13335964
Peru,PER,704,Viet Nam,VNM,206,Edible offal of domestic animals,210855
Poland,POL,704,Viet Nam,VNM,206,Edible offal of domestic animals,11261541
Portugal,PRT,704,Viet Nam,VNM,206,Edible offal of domestic animals,199803
Romania,ROU,704,Viet Nam,VNM,206,Edible offal of domestic animals,148712
Russian Federation,RUS,704,Viet Nam,VNM,206,Edible offal of domestic animals,7282052
Serbia,SRB,704,Viet Nam,VNM,206,Edible offal of domestic animals,635390
India,IND,704,Viet Nam,VNM,206,Edible offal of domestic animals,77912625
Singapore,SGP,704,Viet Nam,VNM,206,Edible offal of domestic animals,2717
Slovenia,SVN,704,Viet Nam,VNM,206,Edible offal of domestic animals,36157
South Africa,ZAF,704,Viet Nam,VNM,206,Edible offal of domestic animals,2648354
Spain,ESP,704,Viet Nam,VNM,206,Edible offal of domestic animals,8301546
Sweden,SWE,704,Viet Nam,VNM,206,Edible offal of domestic animals,21166
Thailand,THA,704,Viet Nam,VNM,206,Edible offal of domestic animals,5480
Turkey,TUR,704,Viet Nam,VNM,206,Edible offal of domestic animals,3344151
Uganda,UGA,704,Viet Nam,VNM,206,Edible offal of domestic animals,266598
Egypt,EGY,704,Viet Nam,VNM,206,Edible offal of domestic animals,14588
United Kingdom,GBR,704,Viet Nam,VNM,206,Edible offal of domestic animals,7530588
USA,USA,704,Viet Nam,VNM,206,Edible offal of domestic animals,810414
Uruguay,URY,704,Viet Nam,VNM,206,Edible offal of domestic animals,478974
Algeria,DZA,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",35521
Argentina,ARG,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",1806483
Australia,AUS,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",770183
Belgium,BEL,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",225081
Brazil,BRA,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",24499233
Bulgaria,BGR,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",295238
Belarus,BLR,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",53800
Canada,CAN,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",587786
Sri Lanka,LKA,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",562364
Colombia,COL,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",796843
Cyprus,CYP,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",30553
Czechia,CZE,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",41003
Estonia,EST,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",89085
France,FRA,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",2309808
Gambia,GMB,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",14649
Germany,DEU,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",4190777
Greece,GRC,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",63529
"China, Hong Kong SAR",HKG,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",361698980
Hungary,HUN,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",29220
Ireland,IRL,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",160618
Israel,ISR,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",57000
Italy,ITA,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",749504
Japan,JPN,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",1436964
Jordan,JOR,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",75996
Rep. of Korea,KOR,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",24461462
Kuwait,KWT,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",44345
Lao People's Dem. Rep.,LAO,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",37500
Lithuania,LTU,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",2159653
Malaysia,MYS,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",617554
Mexico,MEX,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",375829
"Other Asia, nes",,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",6945575
Morocco,MAR,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",128955
Oman,OMN,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",12531
Netherlands,NLD,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",11067305
Pakistan,PAK,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",2762194
Paraguay,PRY,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",343213
Philippines,PHL,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",17459
Poland,POL,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",4690630
Portugal,PRT,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",46578
Romania,ROU,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",159075
Russian Federation,RUS,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",8072397
Serbia,SRB,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",55006
India,IND,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",403148
Singapore,SGP,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",83062
Spain,ESP,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",1227240
Thailand,THA,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",2196004
Tunisia,TUN,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",154914
Turkey,TUR,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",14354258
Egypt,EGY,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",142824
United Kingdom,GBR,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",2753264
USA,USA,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",68830369
Uruguay,URY,704,Viet Nam,VNM,207,"Meat, edible offal of domestic poultry",7680
Australia,AUS,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",280497
Belgium,BEL,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",16539
France,FRA,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",126754
"China, Hong Kong SAR",HKG,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",24992
Hungary,HUN,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",62913
Indonesia,IDN,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",25604
Ireland,IRL,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",22030
Italy,ITA,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",231879
"Other Asia, nes",,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",93
Netherlands,NLD,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",21
New Zealand,NZL,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",49353
Russian Federation,RUS,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",39250
Saudi Arabia,SAU,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",37333
South Africa,ZAF,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",191456
Spain,ESP,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",59460
USA,USA,704,Viet Nam,VNM,208,"Meat, edible meat offal nes, fresh, chilled or frozen",1161683
Denmark,DNK,704,Viet Nam,VNM,209,"Pig and poultry fat, unrendered",68872
France,FRA,704,Viet Nam,VNM,209,"Pig and poultry fat, unrendered",9847
Germany,DEU,704,Viet Nam,VNM,209,"Pig and poultry fat, unrendered",203492
Italy,ITA,704,Viet Nam,VNM,209,"Pig and poultry fat, unrendered",1399
Netherlands,NLD,704,Viet Nam,VNM,209,"Pig and poultry fat, unrendered",1
Poland,POL,704,Viet Nam,VNM,209,"Pig and poultry fat, unrendered",99671
Spain,ESP,704,Viet Nam,VNM,209,"Pig and poultry fat, unrendered",435298
USA,USA,704,Viet Nam,VNM,209,"Pig and poultry fat, unrendered",108947
Australia,AUS,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",30750
France,FRA,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",116435
Germany,DEU,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",24136
Indonesia,IDN,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",41470
Italy,ITA,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",325246
Rep. of Korea,KOR,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",85523
"Other Asia, nes",,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",3539
Netherlands,NLD,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",53830
Pakistan,PAK,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",39761
Russian Federation,RUS,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",71677
India,IND,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",63266
Singapore,SGP,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",7915
Spain,ESP,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",295789
Thailand,THA,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",67347
Turkey,TUR,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",504624
Uganda,UGA,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",138790
United Kingdom,GBR,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",163191
USA,USA,704,Viet Nam,VNM,210,"Salted, dried or smoked meat or offal, flour and meal",522401
Algeria,DZA,704,Viet Nam,VNM,301,Live fish,34733
Australia,AUS,704,Viet Nam,VNM,301,Live fish,433027
Myanmar,MMR,704,Viet Nam,VNM,301,Live fish,233335
China,CHN,704,Viet Nam,VNM,301,Live fish,9180701
Indonesia,IDN,704,Viet Nam,VNM,301,Live fish,416041
Japan,JPN,704,Viet Nam,VNM,301,Live fish,793777
Rep. of Korea,KOR,704,Viet Nam,VNM,301,Live fish,31915
Malaysia,MYS,704,Viet Nam,VNM,301,Live fish,53096
"Other Asia, nes",,704,Viet Nam,VNM,301,Live fish,365382
Philippines,PHL,704,Viet Nam,VNM,301,Live fish,11181
Singapore,SGP,704,Viet Nam,VNM,301,Live fish,41668
Thailand,THA,704,Viet Nam,VNM,301,Live fish,114022
United Kingdom,GBR,704,Viet Nam,VNM,301,Live fish,2862
USA,USA,704,Viet Nam,VNM,301,Live fish,101630
Australia,AUS,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",1284511
Myanmar,MMR,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",730187
Canada,CAN,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",222789
Sri Lanka,LKA,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",390939
Chile,CHL,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",7910
Finland,FIN,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",219892
France,FRA,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",77617
Gambia,GMB,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",14542
Guyana,GUY,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",614974
"China, Hong Kong SAR",HKG,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",934221
Iceland,ISL,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",172957
Indonesia,IDN,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",640826
Japan,JPN,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",54788
Lao People's Dem. Rep.,LAO,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",2857
Madagascar,MDG,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",21102
Maldives,MDV,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",250
Mauritius,MUS,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",4002657
"Other Asia, nes",,704,Viet Nam,VNM,302,"Fish, fresh or chilled, whole",35604
